realsalingvolume,avgprice,commentnum,commercialarea,creditcardnum,facilityservices_breakfast,facilityservices_familysuite,facilityservices_queenroom,facilityservices_twinroom,facilityservices_parkinglot,facilityservices_swimpool,facilityservices_pickup,facilityservices_gym,facilityservices_airportshuttle,facilityservices_grandopen,facilityservices_pet,trait_gardenarchitecture,trait_lakeview,trait_leisurevacation,trait_parentingtime,trait_romanticlovers,trait_businesstrip,trait_conferencehotel,trait_department,trait_inn,trait_youthhostel,trait_boutiquehotel,trait_designedhotel,trait_hotspringhotel,trait_traditionalhotel,trait_deliciousfood,trait_plumfragrance,id,lat,lng,name,openingtime,roomnum,picturenum,rstar,grade,distance_to_railway_station,distance_to_north_railway_station,distance_to_downtown,trip,scenery_5km,scenery_3km,scenery_1km,subway,scenic spot,beautifulscenery,lane,environment,sea,nightlif,location,busstation,railwaystation,tranquility,transportation,view,General,Services,Roomamenities,Activities,surroundfacility,timestatistic,meishi,theater,recreation,lady,openinglong
51,125,2,太湖风景区,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1720103,31.294241902681,,苏州香雪宾馆,unknown,13,20,2,1.5,24.2,34.6,22.9,0,1984,866,295,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,3,0,2660,0,0,0,2
196,90,36,相城经济开发区,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1199906,31.40516559402,,苏州星百盛宾馆,2014-06,55,13,2,1.5,10.6,4.5,15.7,0,560,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0,24,173672,0,145920,0,999
244,99,73,十全街地区,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228585,31.311056967512,,苏州夏馨商务宾馆,2014-09,41,59,2,1.5,7.6,15.6,7.1,0,25272,18416,120,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,17,0,4,44,24797,0,0,0,5
126,108,108,甪直,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228580,31.272153095605,,苏州东吴之星商务宾馆,2014-06,10,35,2,1.5,30.6,35.7,29.7,0,1107,1104,1090,0,38.0,0,0,28.0,0,0,172.0,0,0,26.0,0,0,4,7,17,0,1,47,214591,21,39485,14415,4
2927,123,1273,十全街地区,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1104978,31.307287834666,,汉庭酒店（苏州饮马桥店）,2013-12,88,54,2,1.5,5.5,17.6,4.3,0,26232,23496,1390,0,0,0,0,0,0,0,208.0,0,0,0,192.0,0,5,12,25,1,13,542,171937,0,4406,1537,9
13677,1048,4358,苏州新区,6,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,454034,31.299923931634,,苏州世豪全套间酒店,2013-12,195,228,5,4.5,8.3,24.0,3.1,1,18424,8028,0,0,0,0,0,0,0,0,1824.0,0,0,0,1218.0,0,20,21,45,1,11,1620,203625,0,2747,8121,7
537,156,251,木渎风景区,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1619796,31.294186153792,,苏州橙子时尚酒店,2015-02,87,51,2,1.5,12.5,25.6,7.9,0,9070,7151,0,0,0,0,0,104.0,0,0,0,0,0,0,0,0,10,8,21,5,0,179,42855,0,6708,6,0
3075,3143,808,太湖风景区,3,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,437934,31.132336363161,,苏州颐舍温泉酒店,2013-12,86,162,2,3.5,35.1,47.0,27.9,1,340,304,295,0,0,0,0,0,0,0,0,0,0,0,0,0,13,18,32,7,5,416,1365,0,81000,0,4
28077,672,7710,观前街地区（市中心）,6,1,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,397136,31.317965909899,,苏州苏哥利酒店,2013-12,220,190,2,3.5,4.4,16.3,5.0,2,30795,24866,1478,0,0,0,0,3236.0,0,0,11636.0,0,0,198.0,3088.0,0,12,19,31,1,13,3375,3009495,14515,425890,132122,5
5,1280,1,苏州新区,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2701280,31.289688525532,,苏州灵岩山假日休闲别墅,unknown,5,6,2,0,9.2,24.9,4.0,0,11589,6384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,40636,0,194862,0,999
10519,439,1763,苏州新区,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1167084,31.30028410488,,苏州新城花园商旅酒店,2013-12,165,78,6,4.5,7.1,22.8,1.9,0,20156,9005,53,0,0,0,0,2568.0,0,0,0,0,0,0,0,0,26,32,44,10,1,801,757605,0,235143,15224,18
645,138,343,观前街地区（市中心）,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1685484,31.314050270806,,苏州美厨宾馆,2014-02,23,59,0,1.5,6.4,16.0,6.3,0,26198,21799,2963,40.0,12.0,0,0,544.0,0,0,2572.0,0,0,0,1120.0,0,4,6,18,0,5,234,235910,0,0,354,6
8,140,2,太湖风景区,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2541243,31.071091929485,,苏州山水家园农家乐,unknown,45,29,2,2.5,52.0,63.4,47.0,0,1208,454,313,0,16.0,18.0,0,14.0,12.0,0,36.0,0,0,16.0,0,28.0,11,5,22,4,0,0,315,0,2955,0,999
3140,221,992,,4,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304869,31.274584913884,,锦江之星（苏州沧浪新城店）,2013-12,120,79,2,2,8.9,24.0,4.8,0,4832,3006,16,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,28,0,2,508,40900,0,169366,0,2
113,106,22,火车站地区,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709333,31.338708127366,,苏州富康旅社,2015-02,19,32,2,1.5,1.1,16.5,5.7,0,31150,23441,29,0,0,0,0,852.0,0,0,434.0,0,950.0,0,208.0,0,5,3,4,0,2,17,4422,0,0,0,999
9580,478,2840,工业园区独墅湖高教区,6,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,534494,31.261610080571,,苏州月亮湾书香世家酒店,2013-12,147,86,5,4,19.6,28.1,18.8,1,172,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,26,38,1,0,1190,0,0,0,0,2
